,대피시설명,주소,평시활용 유형,대피시설 면적,경도,위도
1361,한양7차아파트대피소,서울특별시 도봉구 해등로25길41,주차장,2512.41,127.033832,37.656004
1362,현대2차아파트대피소,서울특별시 도봉구 시루봉로6길53,주차장,661.16,127.030662,37.659198
1363,거성학마을아파트,서울특별시 도봉구 도당로116,주차장,3276.05,127.039578,37.666567
1364,백상빌딩,서울특별시 도봉구 노해로397-15,주차장,3371.92,127.05181,37.653355
1366,청구아파트,서울특별시 도봉구 시루봉로71,주차장,8824.0,127.026012,37.657527
1367,방학3동507우성1차아파트,서울특별시 도봉구 해등로286-5,주차장,11871.0,127.023934,37.657899
1368,방학3동508우성2차아파트,서울특별시 도봉구 해등로307,주차장,7760.0,127.021991,37.656827
1369,벽산아파트지하주차장,서울특별시 도봉구 시루봉로5길48,주차장,8424.0,127.02543,37.658716
1370,창동주공3단지아파트,서울특별시 도봉구 해등로50,주차장,10527.0,127.043608,37.650042
1371,삼성아파트지하주차장,서울특별시 도봉구 노해로66길21,주차장,10527.0,127.048478,37.64888
1372,창동주공4단지아파트,서울특별시 도봉구 덕릉로350,주차장,10560.0,127.047925,37.644122
1373,창동주공3단지아파트,서울특별시 도봉구 해등로48,주차장,583.4,127.043705,37.648584
1374,성원아파트,서울특별시 도봉구 방학로11길10,주차장,5593.0,127.031608,37.661223
1375,신동아4단지아파트,서울특별시 도봉구 방학로200,주차장,3309.11,127.029913,37.66262
1376,현대3차아파트,서울특별시 도봉구 우이천로38가길32,주차장,916.92,127.021604,37.651806
1379,신동아1단지아파트,서울특별시 도봉구 방학로193,주차장,992.0,127.029181,37.660649
1382,신동아1단지아파트,서울특별시 도봉구 시루봉로107,주차장,965.0,127.026581,37.660961
1384,동아아파트지하,서울특별시 도봉구 노해로70길12,주차장,730.58,127.050345,37.651168
1385,주공아파트17단지,서울특별시 도봉구 덕릉로66길17,주차장,780.17,127.053321,37.643951
1386,주공아파트18단지,서울특별시 도봉구 노해로70길119,주차장,763.64,127.053901,37.646838
1387,주공아파트19단지,서울특별시 도봉구 노해로70길19,주차장,829.76,127.052549,37.650833
1389,한전병원,서울특별시 도봉구 우이천로308,공공시설,1983.48,127.028579,37.645857
1391,쌍문이편한세상,서울특별시 도봉구 노해로41가길16,주차장,1410.0,127.027271,37.649695
1392,북한산월드메르디앙,서울특별시 도봉구 삼양로566,주차장,6000.0,127.013644,37.653782
1394,금광포란재아파트,서울특별시 도봉구 도봉로150바길26,주차장,2510.81,127.045067,37.664583
1395,북한산아이파크아파트,서울특별시 도봉구 도봉로136길28,주차장,106030.33,127.043536,37.657843
1396,래미안도봉아파트,서울특별시 도봉구 도봉로170길40,주차장,14065.94,127.046487,37.679594
1397,도봉파크빌2단지아파트,서울특별시 도봉구 마들로835,주차장,4744.75,127.050678,37.684185
1398,도봉파크빌3단지아파트,서울특별시 도봉구 마들로895,주차장,6659.78,127.048512,37.687636
1399,대우파크힐아파트,서울특별시 도봉구 시루봉로8,주차장,7234.0,127.02912,37.651554
1401,한승미메이드아파트,서울특별시 도봉구 덕릉로60길164-13,주차장,4343.0,127.043007,37.633053
1402,초안산신도브래뉴아파트,서울특별시 도봉구 우이천로4라길11-14,주차장,5216.0,127.042453,37.633352
1405,동도센트리움아파트,서울특별시 도봉구 마들로579-19,주차장,4488.0,127.045277,37.661589
1406,서울북부지방법원,서울특별시 도봉구 마들로749,공공시설,2686.0,127.046949,37.67712
1407,쌍문브라운스톤아파트,서울특별시 도봉구 노해로40길71,주차장,15885.35,127.029388,37.647281
