호선,역사명,정거장층수,형식,지반고(m),레일면고(m),선로기준정거장깊이(m),승강장기준정거장깊이(m),비고
6,월곡,B3,상대식,125.62,104.51,21.11,20.01,
6,상월곡,B3,섬식,129.94,111.39,18.55,17.45,
6,돌곶이,B2,상대식,118.73,101.87,16.86,15.76,
6,석계,B3,상대식,119.68,100.01,19.67,18.57,
6,태릉입구,B2,상대식,119.9,103.35,16.55,15.45,7호선환승
6,화랑대,B2,상대식,119.99,103.32,16.67,15.57,
6,봉화산,B2,섬식,123.46,112.42,11.04,9.94,
6,신내,지상,단선,132.2,132.8,-0.6,-1.7,`19.12월신축(개통)
7,장암,지상,상대식,136.2,136.8,-0.6,-1.7,
7,도봉산,지상,상대식,128.52,133.77,-5.25,-6.35,
7,수락산,B3,섬식(복합),131.52,115.96,15.56,14.46,
7,마들,B3,섬식,125.84,104.7,21.14,20.04,
7,노원,B3,섬식,124.6,101.04,23.56,22.46,4호선환승
7,중계,B3,섬식,124.2,102.78,21.42,20.32,
7,하계,B3,섬식,120.77,99.5,21.27,20.17,
7,공릉,B4,상대식,118.74,95.02,23.72,22.62,
7,태릉입구,B4,상대식,118.37,93.22,25.15,24.05,6호선환승
7,먹골,B3,상대식,117.11,97.84,19.27,18.17,
7,중화,B3,상대식,116.13,95.68,20.45,19.35,
7,상봉,B3,상대식,117.63,94.28,23.35,22.25,
7,면목,B4,상대식,120.4,92.82,27.58,26.48,
7,사가정,B4,상대식,123.51,98.74,24.77,23.67,
7,용마산,B4,상대식,145.41,115.6,29.81,28.71,
7,중곡,B3,상대식,124.93,107.04,17.89,16.79,
7,군자,B3,상대식,116.65,95.42,21.23,20.13,
7,어린이대공원,B3,상대식,120.93,101.76,19.17,18.07,
7,건대입구,B3,상대식,113.7,104.22,9.48,8.38,
7,뚝섬유원지,고가,상대식,115.28,128.47,-13.19,-14.29,
7,청담,B4,섬식,141.38,117.51,23.87,22.77,
7,강남구청,B3,상대식,150.75,127.93,22.82,21.72,분당선환승
7,학동,B3,상대식,137,114.55,22.45,21.35,
7,논현,B3,상대식,126.72,103.75,22.97,21.87,
7,반포,B3,상대식,113.37,92.77,20.6,19.5,
7,고속터미널,B3,상대식,109.75,87.3,22.45,21.35,"3,9호선환승"
7,내방,B3,상대식,115.5,93.13,22.37,21.27,
7,이수,B4,상대식,114.5,90.78,23.72,22.62,4호선환승
7,남성,B3,상대식,122.3,99.8,22.5,21.4,
7,숭실대,B6,상대식,171.78,126.15,45.63,44.53,최대심도역
7,상도,B3,상대식,140.86,118.85,22.01,20.91,
7,장승배기,B3,상대식,131.37,108.98,22.39,21.29,
7,신대방,B3,상대식,124.16,101.72,22.44,21.34,
7,보라매,B2,섬식,118.51,102.77,15.74,14.64,
7,신풍,B2,상대식,116.32,99.98,16.34,15.24,
7,대림,B2,상대식,111.78,94.66,17.12,16.02,
7,남구로,B5,상대식,123.55,90.91,32.64,31.54,
7,가산디지털단지,B4,상대식,109.59,81.82,27.77,26.67,1호선환승
7,철산,B2,상대식,115.05,98.52,16.53,15.43,
7,광명,B3,섬식(복합),112.14,95.34,16.8,15.7,
7,천왕,B2,상대식,122.31,102.84,19.47,18.37,
7,온수,B2,섬식(복합),127.29,110.96,16.33,15.23,
7,까치울,B2,섬식,129.1,111.14,17.96,16.86,
7,부천종합운동장,B2,섬식,134.23,111.5,22.73,21.63,
7,춘의,B2,섬식,117.01,99.98,17.03,15.93,
7,신중동,B2,섬식,111.58,91.98,19.6,18.5,
7,부천시청,B2,섬식,110.51,88.38,22.13,21.03,
7,상동,B2,상대식,109.21,92.64,16.57,15.47,
7,삼산체육관,B2,상대식,108.66,91.6,17.06,15.96,
7,굴포천,B2,상대식,108.3,85.9,22.4,21.3,
7,부평구청,B3,상대식,109.73,86.8,22.93,21.83,인천1호선환승
8,암사,B2,상대식,116.48,101.39,15.09,13.99,
8,천호,B2,상대식,116.91,102.12,14.79,13.69,5호선환승
8,강동구청,B3,상대식,116.92,94.98,21.94,20.84,
8,몽촌토성,B3,상대식,114.64,95.04,19.6,18.5,
8,잠실,B3,상대식,114.77,93.74,21.03,19.93,2호선환승
8,석촌,B2,상대식,114.9,100.46,14.44,13.34,
8,송파,B2,상대식,116.24,100.34,15.9,14.8,
8,가락시장,B2,상대식,118.04,103.58,14.46,13.36,3호선환승
8,문정,B2,상대식,117.88,101.98,15.9,14.8,
8,장지,B2,상대식,119.68,105.6,14.08,12.98,
8,복정,B3,섬식,118.42,104.81,13.61,12.51,분당선환승
8,산성,B4,상대식,208.65,152.86,55.79,54.69,최대심도역
8,남한산성입구,B3,상대식,166.05,147.34,18.71,17.61,
8,단대오거리,B3,상대식,153.71,139.5,14.21,13.11,
8,신흥,B2,상대식,143.89,128.47,15.42,14.32,
8,수진,B2,상대식,137.63,122.76,14.87,13.77,
8,모란,B3,상대식,128.39,106.23,22.16,21.06,분당선환승
